,Unnamed: 0,tconst,id,originalTitle,titreVF,original_language,production_countries,keywords,genres,anneeSortie,release_date,duree,budget,revenue,popularity,noteMoyenne,nbVotes
20800,11353,tt0082547,140068,Il faut tuer Birgitt Haas,Il faut tuer Birgitt Haas,fr,,,"Crime,Drame,Romance",1981,1981-09-02,105,0.0,0.0,1.337,7.0,357
20801,11377,tt0082650,266831,Lettres d'amour en Somalie,Lettres d'amour en Somalie,fr,France,somalia,Documentaire,1982,1982-04-21,95,0.0,0.0,0.6,6.6,32
20802,11393,tt0082690,78830,Ma femme s'appelle reviens,Ma femme s'appelle reviens,fr,France,,"Comédie,Romance",1982,1982-01-27,85,0.0,0.0,5.368,5.6,563
20803,11425,tt0082800,198497,Neige,Neige,fr,"Belgium, France","police, heroin addict","Crime,Drame",1981,1981-05-20,90,0.0,0.0,1.452,6.3,195
20804,11435,tt0082829,65888,Nous étions un seul homme,Nous étions un seul homme,fr,France,"world war ii, male homosexuality, lgbt, gay theme","Drame,Guerre,Romance",1979,1979-11-28,91,0.0,0.0,1.945,6.4,663
20805,11440,tt0082844,67553,L'ombre rouge,L'ombre rouge,fr,France,,"Drame,Thriller",1981,1981-10-28,112,0.0,0.0,1.758,5.1,69
20806,11464,tt0082919,66764,Les Plouffe,Il était une fois des gens heureux... Les Plouffe,fr,Canada,"world war ii, quebec, great depression, family relationships",Drame,1981,1981-04-07,227,0.0,0.0,1.424,7.9,494
20807,11480,tt0082963,266369,Qu'est-ce qui fait courir David?,Qu'est-ce qui fait courir David?,fr,France,,"Comédie,Drame,Romance",1982,1982-06-05,97,0.0,0.0,1.103,5.3,121
20808,11493,tt0082986,31323,Reporters,Reporters,fr,France,photography,Documentaire,1981,1981-06-10,90,0.0,0.0,1.378,6.8,170
20809,11531,tt0083143,2170,Une glace avec deux boules...,Une glace avec 2 boules ou je le dis à papa!,fr,France,"daughter, sibling relationship, break-up, divorce","Comédie,Drame",1982,1982-03-17,89,0.0,0.0,1.34,5.5,90
20810,11568,tt0083219,80587,Tout feu tout flamme,Tout feu tout flamme,fr,France,,"Action,Comédie,Drame",1982,1982-01-13,108,0.0,0.0,5.063,6.1,934
20811,11570,tt0083230,97032,Trop tôt/Trop tard,Trop tôt/Trop tard,fr,"Egypt, France",woman director,Documentaire,1981,1982-02-17,100,0.0,0.0,1.868,5.5,697
20812,11573,tt0083239,204897,Les turlupins,Les turlupins,fr,France,sexual awakening,Comédie,1980,1980-02-27,95,0.0,0.0,0.99,6.0,185
20813,11576,tt0083249,222707,Un assassin qui passe,Un assassin qui passe,fr,France,,"Drame,Thriller",1981,1981-04-08,110,0.0,0.0,2.103,5.8,145
20814,11579,tt0083255,12214,Une affaire d'hommes,Une affaire d'hommes,fr,France,,"Crime,Drame,Mystère",1981,1981-11-09,105,0.0,0.0,2.007,6.4,267
20815,11580,tt0083256,566782,Une jeunesse,Une jeunesse,fr,,,Drame,1983,1983-06-15,100,0.0,0.0,0.6,5.8,18
20816,11581,tt0083257,12266,Une étrange affaire,Une étrange affaire,fr,France,,Drame,1981,1981-12-23,105,0.0,0.0,2.986,7.0,691
20817,11588,tt0083286,449362,La vie continue,La vie continue,fr,France,,"Drame,Romance",1981,1981-09-23,93,0.0,0.0,1.078,7.0,71
20818,11601,tt0083355,684441,"Yume, yume no ato","Rêve, après rêve",fr,"France, Japan",,"Fantastique,Romance",1981,1981-01-24,101,0.0,0.0,0.6,5.2,22
20819,11606,tt0083375,29566,Les paumées du petit matin,Fuges mineures,fr,France,,"Aventure,Crime,Drame,Horreur",1981,1981-12-31,95,0.0,0.0,2.72,5.3,503
20820,11629,tt0083559,107391,L'ange,L'ange,fr,France,"material arts, short film","Animation,Fantastique,Mystère",1982,1982-05-25,64,0.0,0.0,1.627,7.2,677
20821,11632,tt0083567,37187,Antonieta,Antonieta,fr,"France, Mexico, Spain","based on novel or book, biography","Biographie,Drame,Guerre",1982,1982-10-21,108,0.0,0.0,2.267,5.9,416
20822,11643,tt0083587,25739,L'associé,L'associé,fr,"Belgium, France","paris, france, scam, financial transactions, financial empire, private banking, financial fraud, french, comedy, 70s",Comédie,1979,1979-08-22,94,0.0,0.0,1.907,5.8,161
20823,11650,tt0083614,566524,Balles perdues,Balles perdues,fr,,,"Crime,Thriller",1983,1983-04-13,91,0.0,0.0,0.84,6.0,51
20824,11674,tt0083684,186685,Boulevard des assassins,Boulevard des assassins,fr,France,,"Crime,Drame,Mystère",1982,1982-03-29,102,0.0,0.0,1.413,5.6,206
20825,11721,tt0083863,11669,Le démon dans l'île,Le démon dans l'île,fr,France,"island, english channel","Fantastique,Horreur,Mystère",1983,1983-03-30,102,0.0,0.0,1.881,6.1,316
20826,11744,tt0083933,213915,La femme enfant,La femme enfant,fr,"Germany, France",,Drame,1980,1980-09-24,96,0.0,0.0,1.056,6.2,179
20827,11774,tt0084019,67649,Le grand frère,Le grand frère,fr,France,,Crime,1982,1982-09-08,115,0.0,0.0,2.261,5.3,166
20828,11779,tt0084037,153552,La guerre d'un seul homme,La guerre d'un seul homme,fr,,,"Documentaire,Guerre,Histoire",1981,1982-11-17,105,0.0,0.0,0.809,7.7,92
20829,11793,tt0084089,2391,L'honneur d'un capitaine,L'honneur d'un capitaine,fr,France,algerian war (1954-62),"Drame,Guerre,Histoire",1982,1982-12-29,117,0.0,0.0,3.07,7.3,379
20830,11806,tt0084135,324718,L'indiscrétion,L'indiscrétion,fr,France,political intrigue ,"Crime,Thriller",1982,1982-07-21,94,0.0,0.0,1.304,5.8,88
20831,11809,tt0084143,384313,Interdit aux moins de 13 ans,Interdit aux moins de 13 ans,fr,France,,"Crime,Drame",1982,1982-06-30,90,0.0,0.0,0.6,5.7,25
20832,11811,tt0084149,198489,Invitation au voyage,Invitation au voyage,fr,"Germany, France, Italy",,"Comédiemusicale,Crime,Drame,Fantastique,Horreur,Mystère,Thriller",1982,1982-06-19,93,0.0,0.0,1.242,6.2,193
20833,11814,tt0084158,4227,J'ai épousé une ombre,J'ai épousé une ombre,fr,France,fake identity,"Crime,Drame,Romance,Thriller",1983,1983-02-16,110,0.0,0.0,3.259,6.4,564
20834,11818,tt0084176,266368,Josépha,Josépha,fr,France,,Drame,1982,1982-03-10,114,0.0,0.0,1.868,6.0,151
20835,11820,tt0084183,215842,La jument vapeur,La jument vapeur,fr,,,Drame,1978,1978-04-17,117,0.0,0.0,0.794,6.8,67
20836,11832,tt0084247,444484,Liberty belle,Liberty belle,fr,France,,Drame,1983,1983-09-14,112,0.0,0.0,1.039,5.3,116
20837,11840,tt0084281,222146,Légitime violence,Légitime violence,fr,France,,"Action,Crime,Drame",1982,1982-09-01,95,0.0,0.0,1.768,5.4,267
20838,11858,tt0084361,118136,Mourir à 30 ans,Mourir à 30 ans,fr,France,"suicide, political activism, counter-culture, leftist radicalism","Documentaire,Histoire",1982,1982-06-09,95,0.0,0.0,0.6,7.1,250
20839,11896,tt0084468,64344,Paradis pour tous,Paradis pour tous,fr,France,"insurance salesman, monkey, fearless","Comédie,Drame,Science-Fiction",1982,1982-08-25,110,0.0,0.0,3.766,6.6,496
20840,11916,tt0084526,59455,Pour cent briques t'as plus rien,Pour 100 briques t'as plus rien !,fr,France,,Comédie,1982,1982-05-12,85,0.0,0.0,3.367,6.0,996
20841,11928,tt0084562,78803,Que les gros salaires lèvent le doigt!,Que les gros salaires lèvent le doigt !,fr,France,,"Comédie,Drame",1982,1982-11-03,98,0.0,0.0,3.245,5.6,405
20842,12004,tt0084797,11668,Tir groupé,Tir groupé,fr,France,"loss of loved one, sadness, karate, revenge, suburb","Crime,Drame",1982,1982-09-21,88,0.0,0.0,2.747,5.7,261
20843,12016,tt0084829,92238,La truite,La truite,fr,France,,"Drame,Romance",1982,1982-09-22,103,0.0,0.0,1.689,5.8,917
20844,12019,tt0084841,79748,Un chien dans un jeu de quilles,Un chien dans un jeu de quilles,fr,France,,Comédie,1983,1983-01-26,93,0.0,0.0,1.263,5.1,391
20845,12036,tt0084898,181083,Wend Kuuni,Le Don de Dieu,fr,Burkina Faso,"africa, savannah, peddler, abandoned child",Drame,1982,1983-03-27,75,0.0,0.0,1.104,6.7,283
20846,12053,tt0084960,198483,À toute allure,À toute allure,fr,France,roller-skating,"Drame,Sport",1982,1982-06-07,59,0.0,0.0,0.6,6.4,32
20847,12055,tt0084962,77700,L'étoile du Nord,L'étoile du Nord,fr,France,,"Crime,Drame,Thriller",1982,1982-03-31,124,0.0,0.0,3.654,6.5,644
20848,12060,tt0085141,71055,L'africain,L'Africain,fr,France,,"Aventure,Comédie,Romance",1983,1983-10-22,101,0.0,0.0,4.595,6.2,969
20849,12064,tt0085158,197485,L'ami de Vincent,L'ami de Vincent,fr,France,,"Comédie,Drame,Musique",1983,1983-09-28,93,0.0,0.0,1.01,6.1,285
20850,12075,tt0085187,82052,Attention une femme peut en cacher une autre!,Attention une femme peut en cacher une autre!,fr,France,,Comédie,1983,1983-09-21,110,0.0,0.0,2.782,6.0,289
20851,12076,tt0085190,74400,Au nom de tous les miens,Au nom de tous les miens,fr,"Canada, France",,"Biographie,Drame,Guerre",1983,1983-10-12,145,0.0,0.0,5.439,7.1,588
20852,12088,tt0085229,64388,Benvenuta,Benvenuta,fr,"Belgium, France, Italy",,"Drame,Romance",1983,1983-09-07,105,0.0,0.0,1.111,6.4,235
20853,12105,tt0085283,566678,Le bâtard,Le bâtard,fr,,,Drame,1983,1983-06-15,110,0.0,0.0,0.6,5.1,30
20854,12106,tt0085284,566650,La bête noire,La bête noire,fr,,,Drame,1983,1983-06-15,102,0.0,0.0,0.6,6.0,18
20855,12114,tt0085312,267066,Les cavaliers de l'orage,Les cavaliers de l'orage,fr,"France, Yugoslavia",horseman,"Action,Aventure,Drame",1984,1984-02-15,100,0.0,0.0,1.591,6.3,74
20856,12125,tt0085341,78409,Circulez y a rien à voir!,"Move Along, There is Nothing to See",fr,France,,Comédie,1983,1983-04-20,84,0.0,0.0,3.708,5.2,531
20857,12133,tt0085378,249786,La crime,La crime,fr,France,"journalist, suicide, corruption, minister, investition, burned alive, murder, bathtub, police detective, elevator","Crime,Romance,Thriller",1983,1983-08-24,103,0.0,0.0,1.698,5.7,313
20858,12142,tt0085394,52166,Les Dalton en cavale,Les Dalton en cavale,fr,"France, United States of America",,"Animation,Aventure,Comédie,Western",1983,1983-09-30,82,0.0,0.0,10.662,6.1,774
20859,12153,tt0085432,266842,Le destin de Juliette,Le destin de Juliette,fr,France,woman director,Drame,1983,1983-09-21,109,0.0,0.0,0.636,6.0,38
20860,12166,tt0085477,99313,Édith et Marcel,Édith et Marcel,fr,France,,"Biographie,Drame,Romance",1983,1983-01-01,170,0.0,0.0,2.322,5.9,424
20861,12170,tt0085489,123817,L'enfant secret,L'enfant secret,fr,France,electroconvulsive therapy,Drame,1979,1979-01-01,92,0.0,0.0,2.572,6.5,716
20862,12181,tt0085520,133452,Faits divers,Faits divers,fr,France,,Documentaire,1983,1983-06-01,108,0.0,0.0,0.6,7.2,312
20863,12187,tt0085530,326825,Femmes de personne,Femmes de personne,fr,France,,"Drame,Romance",1984,1984-03-14,106,0.0,0.0,1.957,5.4,134
20864,12206,tt0085570,566352,La fuite en avant,La fuite en avant,fr,,,Drame,1980,1983-01-26,86,0.0,0.0,0.6,6.2,11
20865,12208,tt0085576,75996,Garçon !,Garçon !,fr,France,"friendship, dream, france, paris, france, restaurant, seaside, waiter, food culture, french","Comédie,Drame,Romance",1983,1983-11-09,102,0.0,0.0,3.703,6.3,873
20866,12217,tt0085618,344595,Le grain de sable,Le grain de sable,fr,France,,"Comédie,Drame",1983,1983-10-25,90,0.0,0.0,0.6,6.2,39
20867,12218,tt0085619,114863,Le grand carnaval,Le grand carnaval,fr,"France, Tunisia",,"Drame,Guerre",1983,1983-12-07,130,0.0,0.0,4.167,5.5,240
20868,12223,tt0085639,369743,Haltéroflic,Haltéroflic,fr,France,,"Crime,Thriller",1983,1983-06-08,90,0.0,0.0,0.6,6.7,43
20869,12226,tt0085642,63665,Hanna K.,Hanna K.,fr,"France, Israel, Palestinian Territory",,Drame,1983,1983-09-07,111,0.0,114247.0,2.102,6.6,999
20870,12236,tt0085685,349185,L'homme au chapeau de soie,L'homme au chapeau de soie,fr,France,woman director,"Biographie,Comédie,Documentaire",1983,1983-11-05,75,0.0,0.0,0.6,7.4,58
20871,12245,tt0085725,327221,L'indic,L'indic,fr,France,,"Crime,Drame",1983,1983-04-06,95,0.0,0.0,0.76,5.3,246
20872,12249,tt0085753,69216,Le jeune marié,Le jeune marié,fr,France,,"Comédie,Drame",1983,1983-05-11,97,0.0,0.0,2.052,5.4,70
20873,12267,tt0085839,110743,"Liberté, la nuit","Liberté, la nuit",fr,France,,"Drame,Guerre",1984,1984-10-03,82,0.0,0.0,1.508,7.0,294
20874,12286,tt0085901,250831,Maria Chapdelaine,Maria Chapdelaine,fr,"France, Canada","canada, based on novel or book, native american, montreal, canada",Drame,1983,1983-04-27,107,0.0,0.0,1.3,6.0,267
20875,12291,tt0085934,162514,Merry-Go-Round,Merry-Go-Round,fr,France,,"Crime,Drame,Mystère",1980,1981-10-08,160,0.0,0.0,1.633,6.5,631
20876,12300,tt0085963,133752,La mort de Mario Ricci,La mort de Mario Ricci,fr,"France, Germany, Switzerland","small town, investigation",Drame,1983,1983-05-25,100,0.0,0.0,1.561,6.5,207
20877,12332,tt0086070,252879,P'tit con,P'tit con,fr,France,coming of age,"Comédie,Drame",1984,1984-01-18,90,0.0,0.0,1.498,6.0,136
20878,12340,tt0086099,96247,La petite bande,La petite bande,fr,France,family relationships,"Aventure,Comédie,Mystère",1983,1983-03-16,91,0.0,0.0,0.732,6.3,144
20879,12345,tt0086127,218725,Point de fuite,Point de fuite,fr,"Portugal, France",,Drame,1984,1984-05-17,75,0.0,0.0,0.6,5.9,105
20880,12350,tt0086139,120310,Les princes,Les princes,fr,France,,Drame,1983,1983-11-02,100,0.0,0.0,1.282,6.5,137
20881,12378,tt0086212,76217,Rue barbare,Rue barbare,fr,France,french noir,"Action,Crime,Drame",1984,1984-01-04,107,0.0,0.0,3.757,5.4,583
20882,12380,tt0086214,71630,Le ruffian,Le ruffian,fr,"Canada, France",,"Aventure,Comédie,Crime,Drame",1983,1983-01-12,108,0.0,0.0,3.954,6.0,933
20883,12383,tt0086228,67644,Les Sacrifiés,Les sacrifiés,fr,France,,Drame,1983,1983-03-23,97,0.0,0.0,0.871,5.2,32
20884,12398,tt0086282,70929,La 7ème cible,La 7ème cible,fr,France,,"Drame,Romance,Thriller",1984,1984-12-19,108,0.0,0.0,3.27,6.3,766
20885,12410,tt0086311,79756,Signes extérieurs de richesse,Signes extérieurs de richesse,fr,France,,"Comédie,Romance",1983,1983-11-09,92,0.0,0.0,2.794,5.4,341
20886,12429,tt0086362,533859,Stella,Stella,fr,,,Drame,1983,1983-07-13,98,0.0,0.0,1.37,5.6,46
20887,12440,tt0086384,1025979,Suicides,Suicides,fr,France,,Drame,1986,1983-01-01,86,0.0,0.0,0.6,5.7,9
20888,12462,tt0086463,63640,La trace,La trace,fr,"France, Switzerland",,"Comédie,Drame",1983,1983-12-21,103,0.0,0.0,0.6,7.0,61
20889,12464,tt0086466,438306,La tragédie de Carmen,La tragédie de Carmen,fr,,,"Comédiemusicale,Drame",1983,1983-11-02,80,0.0,0.0,0.6,7.6,62
20890,12468,tt0086479,63328,Tricheurs,Tricheurs,fr,"Germany, France, Portugal","casino, cheating, roulette, compulsive gambling, roulette wheel, croupier, radio controlled, gambling addiction, crooked gambler","Comédie,Drame",1984,1984-02-08,94,0.0,0.0,1.909,6.2,647
20891,12480,tt0086504,533861,Un homme à ma taille,Un homme à ma taille,fr,,,Comédie,1983,1983-01-16,92,0.0,0.0,0.6,5.2,84
20892,12481,tt0086505,80307,Un jeu brutal,Un jeu brutal,fr,France,,"Crime,Drame",1983,1983-09-28,90,0.0,0.0,3.69,6.8,686
20893,12485,tt0086512,355923,Une pierre dans la bouche,Une pierre dans la bouche,fr,France,"gangster, fugitive, shootout, gun violence, blindness, old mansion","Comédie,Drame",1983,1983-10-05,105,0.0,0.0,0.83,5.7,99
20894,12488,tt0086533,375561,Vénus,Vénus,fr,,,"Comédie,Drame,Fantastique",1984,1984-05-16,82,0.0,0.0,0.668,5.4,96
20895,12499,tt0086550,266838,Vive la sociale!,Vive la sociale!,fr,France,,Comédie,1983,1983-10-05,95,0.0,0.0,0.6,6.3,71
20896,12503,tt0086557,181456,Les voleurs de la nuit,Les Voleurs de la nuit,fr,France,,"Crime,Drame,Romance,Thriller",1983,1984-02-27,98,0.0,0.0,2.074,5.7,239
20897,12530,tt0086642,169091,Zig Zag Story,Et la tendresse?... Bordel! n° 2,fr,France,,"Comédie,Drame",1983,1983-05-03,100,0.0,0.0,1.265,6.1,186
20898,12539,tt0086707,266834,Les quarantièmes rugissants,Les quarantièmes rugissants,fr,"Germany, France",,Aventure,1982,1982-08-11,132,0.0,0.0,0.884,5.5,104
20899,12544,tt0086852,225977,L'addition,L'addition,fr,France,,"Drame,Thriller",1984,1984-04-03,85,0.0,0.0,1.763,5.8,312
20900,12556,tt0086880,404352,Les amants terribles,Les amants terribles,fr,,,Drame,1985,1985-01-16,90,0.0,0.0,1.406,5.8,16
20901,12561,tt0086889,64225,L'amour par terre,L'amour par terre,fr,France,,"Comédie,Drame,Fantastique,Romance",1984,1984-10-17,125,0.0,0.0,1.225,6.8,679
20902,12569,tt0086909,78548,L'araignée de satin,L'araignée de satin,fr,France,,"Crime,Drame,Horreur",1985,1986-03-26,82,0.0,0.0,0.934,5.0,46
20903,12576,tt0086924,326969,Ave Maria,Ave Maria,fr,,,"Drame,Romance",1984,1984-10-31,105,0.0,0.0,1.156,5.5,65
20904,12587,tt0086953,177076,Berenice,Berenice de Racine,fr,France,baroque,Drame,1983,1983-01-02,105,0.0,0.0,2.136,5.8,65
20905,12592,tt0086964,16218,Le big-Bang,Le big-Bang,fr,France,"satire, adult animation","Animation,Aventure,Comédie,Science-Fiction",1987,1987-03-06,76,0.0,0.0,0.938,5.5,377
20906,12594,tt0086968,146398,Biquefarre,Biquefarre,fr,France,biquefarre,"Documentaire,Drame",1983,1984-04-04,90,0.0,0.0,1.093,6.7,123
20907,12599,tt0086975,328908,Blanche et Marie,Blanche et Marie,fr,France,resistance,"Drame,Guerre",1985,1985-04-03,92,0.0,0.0,1.466,5.9,216
20908,12612,tt0086988,104349,Le bon plaisir,Le bon plaisir,fr,France,,"Comédie,Drame,Romance",1984,1984-01-18,108,0.0,0.0,2.676,6.3,587
20909,12621,tt0087002,74370,Brigade des moeurs,Brigade des moeurs,fr,France,"prostitute, paris, france, shotgun, gore, violence against women, dirty cop, motorcycle gang, dead woman, gun shooting","Crime,Thriller",1985,1985-01-09,96,0.0,0.0,1.269,5.9,391
20910,12631,tt0087035,326098,Carmen nue,Carmen nue,fr,France,,"Action,Comédiemusicale,Drame,Musique",1984,1984-08-29,82,0.0,0.0,0.637,5.0,59
20911,12685,tt0087205,86096,Les enfants,Les enfants,fr,France,woman director,Comédie,1985,1985-02-01,84,0.0,0.0,1.277,6.6,201
20912,12696,tt0087245,356316,Les fausses confidences,Les fausses confidences,fr,France,,Comédie,1984,1984-10-02,110,0.0,0.0,0.6,6.0,21
20913,12697,tt0087246,47450,Les favoris de la lune,Les favoris de la lune,fr,"France, Italy, Soviet Union",,"Comédie,Crime,Drame",1984,1985-02-06,101,0.0,0.0,2.366,6.9,937
20914,12731,tt0087314,4270,La garce,La garce,fr,France,"rape, double life, revenge, woman director","Crime,Drame,Thriller",1984,1984-09-05,93,0.0,0.0,2.029,5.3,266
20915,12759,tt0087376,108048,"Gwen, le livre de sable",Gwen et le livre de sable,fr,France,"kidnapping, post-apocalyptic future, desert, nomad, looking for friend, extinct civilization, desert fauna, adopted girl","Animation,Aventure,Fantastique,Science-Fiction",1985,1985-02-06,67,0.0,0.0,1.256,6.8,386
20916,12784,tt0087457,308613,Illustres inconnus,Illustres inconnus,fr,France,,Drame,1984,1984-01-01,102,0.0,0.0,0.6,7.0,16
20917,12791,tt0087477,65710,L'intrus,L'intrus,fr,France,,"Comédie,Drame",1984,1984-09-19,\N,0.0,0.0,0.6,5.7,10
20918,12797,tt0087512,369173,La joven y la tentación,La jeune fille et l'enfer,fr,"France, Spain",,"Drame,Mystère,Romance,Thriller",1986,1986-01-10,96,0.0,0.0,1.323,5.2,46
20919,12800,tt0087515,308469,Le juge,Le juge,fr,France,"judge, drug trafficking, detective","Crime,Drame,Mystère",1984,1984-04-11,97,0.0,0.0,0.783,6.3,188
20920,12830,tt0087627,183329,Liste noire,Liste noire,fr,,,"Action,Crime",1984,1984-01-01,83,0.0,0.0,0.6,5.6,211
20921,12833,tt0087640,63747,Louise... l'insoumise,Louise... l'insoumise,fr,France,,"Comédie,Drame",1985,1985-03-13,95,0.0,0.0,1.49,6.1,60
20922,12847,tt0087693,446181,Le matelot 512,Le matelot 512,fr,France,"marine, dramedy","Comédie,Drame",1984,1984-12-19,100,0.0,0.0,0.615,5.9,60
20923,12848,tt0087696,211835,Mauvaise conduite,Mauvaise conduite,fr,France,gay theme,"Documentaire,Histoire",1984,1984-03-21,112,0.0,0.0,1.602,7.9,133
20924,12875,tt0087790,567935,Ni avec toi ni sans toi,Ni avec toi ni sans toi,fr,"Belgium, France",,"Comédie,Drame",1985,1985-06-30,85,0.0,0.0,0.6,5.8,12
20925,12902,tt0087883,256259,Paris vu par... 20 ans après,Paris vu par... 20 ans après,fr,France,woman director,"Comédie,Drame",1984,1984-05-11,100,0.0,0.0,1.533,5.9,78
20926,12904,tt0087885,63111,Paroles et musique,Paroles et musique,fr,France,,"Drame,Musique,Romance",1984,1984-12-19,109,0.0,0.0,3.048,5.1,471
20927,12905,tt0087887,63211,Partenaires,Partenaires,fr,France,,Drame,1984,1984-12-26,\N,0.0,0.0,0.84,5.4,21
20928,12906,tt0087888,79420,"Partir, revenir","Partir, revenir",fr,France,,"Drame,Guerre",1985,1985-03-27,114,0.0,0.0,2.595,6.3,386
20929,12920,tt0087917,42394,Pinot simple flic,Pinot simple flic,fr,France,,"Comédie,Drame",1984,1984-06-06,85,0.0,0.0,5.504,5.4,777
20930,12921,tt0087918,63157,La Pirate,La Pirate,fr,France,lesbian relationship,"Drame,Romance",1984,1984-05-23,88,0.0,0.0,3.604,5.0,451
20931,12923,tt0087927,190417,Polar,Polar,fr,France,"private detective, neo-noir","Crime,Thriller",1984,1984-03-21,97,0.0,0.0,2.344,6.0,162
20932,12937,tt0087964,50212,Le quart d'heure américain,Le quart d'heure américain,fr,France,,"Comédie,Romance",1982,1982-09-28,90,0.0,0.0,3.84,5.2,365
20933,12952,tt0088004,211923,"Rive droite, rive gauche","Rive Droite, Rive Gauche",fr,France,"political scandal, lawyer supporting character, lawyer boyfriend","Crime,Drame",1984,1984-10-30,99,0.0,0.0,2.183,5.8,497
20934,12964,tt0088043,326822,Sauvage et beau,Sauvage et beau,fr,,,Documentaire,1984,1984-12-12,92,0.0,0.0,0.6,8.1,26
20935,12989,tt0088138,68946,La smala,La smala,fr,France,"paris, france",Comédie,1984,1984-08-29,90,0.0,0.0,3.141,5.1,314
